"","target","chk_ac_status","duration_month","credit_history","purpose","credit_amount","savings_ac_bond","p_employment_since","instalment_pct","personal_status","other_debtors_or_grantors","present_residence_since","property_type","age_in_yrs","other_instalment_type","housing_type","number_cards_this_bank","job","no_people_liable_for_mntnance","telephone","foreign_worker"
"1",1,"A11",6,"A34","A43",1169,"A65","A75",4,"A93","A101",4,"A121",67,"A143","A152",2,"A173",1,"A192","A201"
"2",0,"A12",48,"A32","A43",5951,"A61","A73",2,"A92","A101",2,"A121",22,"A143","A152",1,"A173",1,"A191","A201"
"3",1,"A14",12,"A34","A46",2096,"A61","A74",2,"A93","A101",3,"A121",49,"A143","A152",1,"A172",2,"A191","A201"
"4",1,"A11",42,"A32","A42",7882,"A61","A74",2,"A93","A103",4,"A122",45,"A143","A153",1,"A173",2,"A191","A201"
"5",0,"A11",24,"A33","A40",4870,"A61","A73",3,"A93","A101",4,"A124",53,"A143","A153",2,"A173",2,"A191","A201"
"6",1,"A14",36,"A32","A46",9055,"A65","A73",2,"A93","A101",4,"A124",35,"A143","A153",1,"A172",2,"A192","A201"
"7",1,"A14",24,"A32","A42",2835,"A63","A75",3,"A93","A101",4,"A122",53,"A143","A152",1,"A173",1,"A191","A201"
"8",1,"A12",36,"A32","A41",6948,"A61","A73",2,"A93","A101",2,"A123",35,"A143","A151",1,"A174",1,"A192","A201"
"9",1,"A14",12,"A32","A43",3059,"A64","A74",2,"A91","A101",4,"A121",61,"A143","A152",1,"A172",1,"A191","A201"
"10",0,"A12",30,"A34","A40",5234,"A61","A71",4,"A94","A101",2,"A123",28,"A143","A152",NA,"A174",1,"A191","A201"
"11",0,"A12",12,"A32","A40",1295,"A61","A72",3,"A92","A101",1,"A123",25,"A143",NA,1,"A173",1,"A191","A201"
"12",0,"A11",48,"A32","A49",4308,"A61","A72",3,"A92","A101",4,"A122",24,"A143","A151",1,"A173",1,"A191","A201"
"13",1,"A12",12,"A32","A43",1567,"A61","A73",1,"A92","A101",1,"A123",22,"A143","A152",1,"A173",1,"A192","A201"
"14",0,"A11",24,"A34","A40",1199,"A61","A75",4,"A93","A101",4,"A123",60,"A143","A152",2,"A172",1,"A191","A201"
"15",1,"A11",15,"A32","A40",1403,"A61","A73",2,"A92","A101",4,"A123",28,"A143","A151",1,"A173",1,"A191","A201"
